obs_w_30sec_1,obs_w_30sec_2,obs_w_30sec_10,obs_w_30sec_20,obs_w_30sec_40,obs_w_30sec_60
0.015,0.022,0.051,0.514,0.581,0.643
0.000015,0.0000127,0.0002,0.000588,0.000268,0.000457
