tq_obs_w_30sec_1,tq_obs_w_30sec_2,tq_obs_w_30sec_10,tq_obs_w_30sec_20,tq_obs_w_30sec_40,tq_obs_w_30sec_60
0.06797398090362548,0.07640447616577148,0.11678266525268555,0.9147845864295959,1.0363091921806336,1.1557557821273805
0.10487733093079862,0.1168751733894572,0.12014990568161012,0.9086443257331849,1.0383799576759338,1.1526656079292297
0.08852910757064819,0.07709488153457643,0.12103455066680908,0.9314479565620424,1.0372413945198058,1.1473389863967896
0.1064698143671387,0.08896184760164212,0.11588336467742921,0.9119394636154176,1.032413032054901,1.1499251031875612
0.06574961185455322,0.07578380346298218,0.11808978557586669,0.9135128283500671,1.0548388719558717,1.1446692967414855
0.08656687276944003,0.06694790363311767,0.12334080947620477,0.9185107088088988,1.0675515341758728,1.1684506464004518
0.08972166538238525,0.07602607488632201,0.12135112047195436,0.9284599542617797,1.0332189011573791,1.1790357804298401
0.10091310602444888,0.09206938535676444,0.11583070039749144,0.9175288057327269,1.0314847016334534,1.1466398334503172
0.08637931155334783,0.0738049578666687,0.1176071786880493,0.9162789869308471,1.0291970229148866,1.1661520957946778
0.06999108076095581,0.09503354888153485,0.11697857856750488,0.9149554586410523,1.036875069141388,1.155570981502533
