ts_obs_w_30sec_1,ts_obs_w_30sec_2,ts_obs_w_30sec_10,ts_obs_w_30sec_20,ts_obs_w_30sec_40,ts_obs_w_30sec_60
0.04947543144226074,0.05529499053955078,0.0727088451385498,0.5528597831726074,0.6301946640014648,0.6967406272888184
0.08513855934143066,0.09569478034973145,0.07630252838134766,0.5481400489807129,0.6262803077697754,0.6988959312438965
0.07806754112243652,0.05567598342895508,0.07912850379943848,0.5620017051696777,0.6215972900390625,0.6918501853942871
0.08514690399169922,0.06555366516113281,0.07233023643493652,0.5515546798706055,0.6244814395904541,0.6952743530273438
0.04449796676635742,0.05534934997558594,0.07396459579467773,0.5516185760498047,0.6377019882202148,0.6956527233123779
0.07475781440734863,0.04278969764709473,0.07977914810180664,0.5521559715270996,0.6458992958068848,0.7097570896148682
0.08022904396057129,0.05539727210998535,0.07751250267028809,0.5606629848480225,0.6255817413330078,0.704848051071167
0.07970523834228516,0.06999087333679199,0.07299184799194336,0.5534336566925049,0.6263113021850586,0.6950051784515381
0.06752943992614746,0.05340695381164551,0.07415628433227539,0.5515272617340088,0.6243562698364258,0.70621657371521
0.05093121528625488,0.0826871395111084,0.07299113273620605,0.5507917404174805,0.6276929378509521,0.698477029800415
